Id,DienTich,ViTri,SoPhongNgu,SoWC,SoTang,Gia,KinhDo,ViDo,Image
43,260,Long Biên,1,2,2,258234,105.938638,21.035624,anh92.jpg
44,126,Ba Đình,6,4,1,104884,105.920187,21.041722,anh2.jpg
45,311,Ba Đình,5,1,2,281133,105.864712,21.010523,anh97.jpg
46,269,Thanh Xuân,5,2,1,223759,105.776155,20.985133,anh66.jpg
47,316,Ba Đình,2,1,4,306937,105.881806,21.02082,anh18.jpg
48,47,Ba Đình,5,2,4,45530,105.785616,21.035646,anh75.jpg
49,108,Thanh Xuân,5,2,4,95491,105.862293,21.0099,anh90.jpg
50,335,Hai Bà Trưng,3,3,5,389503,105.885326,21.045221,anh44.jpg
51,92,Đống Đa,3,3,2,104407,105.848924,20.989643,anh67.jpg
52,368,Ba Đình,2,4,2,301031,105.942987,21.039309,anh17.jpg
53,141,Ba Đình,2,3,5,150313,105.765133,21.004197,anh62.jpg
54,207,Cầu Giấy,6,2,1,222179,105.767392,21.032751,anh78.jpg
55,104,Thanh Xuân,6,4,4,96999,105.834205,21.008049,anh31.jpg
56,172,Ba Đình,4,2,5,144192,105.859819,20.982132,anh55.jpg
57,74,Đống Đa,3,3,1,71206,105.793708,21.002863,anh94.jpg
58,144,Hoàn Kiếm,5,1,2,145971,105.930928,20.984905,anh50.jpg
59,202,Thanh Xuân,3,4,3,187132,105.891594,21.044755,anh8.jpg
60,47,Hai Bà Trưng,6,1,3,43266,105.834158,21.023644,anh75.jpg
61,317,Cầu Giấy,3,2,4,305316,105.80136,21.008248,anh89.jpg
62,366,Đống Đa,3,4,1,322360,105.892589,21.007109,anh53.jpg
63,275,Tây Hồ,2,3,4,306130,105.902614,20.989923,anh64.jpg
64,248,Hai Bà Trưng,2,2,3,214075,105.753194,21.005756,anh14.jpg
65,256,Tây Hồ,5,3,3,216243,105.873333,21.034076,anh75.jpg
66,370,Ba Đình,3,3,4,399306,105.789869,21.047456,anh52.jpg
67,234,Ba Đình,2,2,3,247284,105.797326,20.986527,anh49.jpg
68,165,Đống Đa,2,2,5,156688,105.897207,21.031352,anh63.jpg
69,328,Cầu Giấy,2,1,2,285668,105.936554,21.006185,anh32.jpg
70,330,Tây Hồ,1,1,3,277395,105.840679,21.005099,anh100.jpg
71,137,Hai Bà Trưng,1,3,2,125790,105.815104,21.014966,anh73.jpg
72,32,Long Biên,1,1,2,36598,105.852487,21.02954,anh41.jpg
73,305,Long Biên,2,4,2,280363,105.895763,21.022377,anh19.jpg
74,206,Cầu Giấy,6,4,2,232747,105.933717,20.988034,anh10.jpg
75,205,Long Biên,4,3,5,226975,105.845667,21.030108,anh47.jpg
76,268,Thanh Xuân,3,1,3,306516,105.81189,21.011596,anh25.jpg
77,293,Hai Bà Trưng,1,2,4,248467,105.77506,21.029243,anh2.jpg
78,370,Thanh Xuân,2,4,5,307060,105.9107,21.044798,anh29.jpg
79,335,Hai Bà Trưng,3,3,1,380019,105.750412,21.043847,anh93.jpg
80,198,Ba Đình,2,2,1,200085,105.800942,21.016265,anh68.jpg
81,131,Long Biên,2,2,1,156697,105.828118,21.022677,anh26.jpg
82,70,Tây Hồ,3,2,3,62916,105.883936,21.048662,anh89.jpg
83,181,Đống Đa,2,4,3,179879,105.913412,21.028583,anh79.jpg
84,376,Hoàn Kiếm,4,1,1,317148,105.761179,21.016912,anh53.jpg
85,273,Hai Bà Trưng,3,2,1,288777,105.908648,20.996325,anh14.jpg
86,163,Long Biên,4,4,5,163981,105.852547,21.010011,anh72.jpg
87,191,Thanh Xuân,5,1,5,201011,105.861244,21.030408,anh85.jpg
88,196,Long Biên,1,4,5,207302,105.831054,20.982337,anh10.jpg
89,385,Hoàn Kiếm,5,4,4,397587,105.872965,21.033422,anh31.jpg
90,73,Hai Bà Trưng,6,1,1,78146,105.816581,21.019686,anh60.jpg
91,321,Hai Bà Trưng,2,4,5,338074,105.779009,21.006525,anh95.jpg
92,287,Hai Bà Trưng,6,1,4,288656,105.888984,20.996276,anh51.jpg
93,353,Thanh Xuân,5,3,4,401821,105.786644,21.01765,anh68.jpg
94,383,Hoàn Kiếm,3,4,5,380241,105.912613,20.994221,anh28.jpg
95,350,Long Biên,5,3,5,375470,105.776255,21.039316,anh36.jpg
96,181,Tây Hồ,5,1,2,195824,105.929629,21.035955,anh88.jpg
97,164,Thanh Xuân,2,3,1,195376,105.788948,21.000521,anh3.jpg
98,299,Ba Đình,5,2,1,269136,105.930445,21.034793,anh95.jpg
99,109,Đống Đa,5,3,2,110580,105.763396,20.98807,anh92.jpg
100,90,Hai Bà Trưng,1,4,1,101760,105.907233,21.042897,anh90.jpg
101,193,Hai Bà Trưng,2,1,4,159521,105.932612,21.024268,anh67.jpg
102,344,Long Biên,2,4,2,379447,105.862446,21.01342,anh60.jpg
103,353,Thanh Xuân,5,1,5,293890,105.847401,20.995658,anh55.jpg
104,260,Thanh Xuân,3,4,4,246981,105.909174,21.02533,anh16.jpg
105,323,Đống Đa,5,1,1,385553,105.83874,21.008261,anh39.jpg
106,315,Thanh Xuân,1,1,4,323653,105.798142,21.012941,anh100.jpg
107,173,Ba Đình,4,4,1,194970,105.800107,21.024274,anh26.jpg
108,367,Thanh Xuân,2,1,1,333746,105.804862,21.002851,anh54.jpg
109,188,Đống Đa,6,3,5,180681,105.938652,21.036194,anh52.jpg
110,299,Cầu Giấy,1,2,2,350517,105.846537,21.000208,anh42.jpg
111,80,Ba Đình,5,2,5,90756,105.787198,21.021804,anh63.jpg
112,319,Long Biên,6,4,2,293041,105.875995,21.023751,anh27.jpg
113,293,Hai Bà Trưng,4,1,1,259284,105.795211,21.037946,anh52.jpg
114,371,Hoàn Kiếm,5,1,2,317982,105.936994,21.008856,anh41.jpg
115,127,Ba Đình,2,3,3,112661,105.896285,21.01187,anh36.jpg
116,266,Cầu Giấy,1,1,2,270685,105.792036,21.037459,anh26.jpg
117,278,Thanh Xuân,5,1,5,263100,105.895866,21.035394,anh48.jpg
118,184,Hai Bà Trưng,6,2,2,160268,105.898008,21.009987,anh67.jpg
119,80,Hoàn Kiếm,3,2,2,92812,105.848419,21.040394,anh11.jpg
120,343,Hai Bà Trưng,6,4,5,311084,105.912343,21.040224,anh60.jpg
121,290,Tây Hồ,4,1,2,325329,105.920146,21.030894,anh73.jpg
122,292,Hai Bà Trưng,4,1,4,296107,105.85898,20.986089,anh49.jpg
123,398,Ba Đình,6,4,5,349941,105.826897,20.984642,anh5.jpg
124,196,Ba Đình,5,3,2,160359,105.901673,21.006045,anh100.jpg
125,131,Cầu Giấy,6,3,1,133393,105.888982,21.004018,anh7.jpg
126,191,Hai Bà Trưng,6,2,4,170822,105.916264,21.003351,anh25.jpg
127,162,Cầu Giấy,1,3,2,151227,105.798143,21.020129,anh45.jpg
128,47,Đống Đa,1,2,1,39468,105.858629,20.984303,anh33.jpg
129,238,Thanh Xuân,4,1,1,240711,105.835741,20.9835,anh90.jpg
130,321,Hoàn Kiếm,5,3,3,295527,105.930077,21.023925,anh19.jpg
131,358,Thanh Xuân,1,1,4,420193,105.9192,21.000556,anh42.jpg
132,396,Cầu Giấy,1,4,1,340921,105.834994,21.025741,anh22.jpg
133,266,Hoàn Kiếm,1,3,2,256123,105.772221,21.044193,anh81.jpg
134,110,Đống Đa,5,2,3,116472,105.874616,21.033265,anh7.jpg
135,202,Thanh Xuân,4,3,4,186580,105.914991,21.019215,anh80.jpg
136,271,Đống Đa,3,3,4,284799,105.895858,20.984629,anh10.jpg
137,52,Long Biên,1,4,4,46956,105.935442,20.981285,anh56.jpg
138,319,Ba Đình,4,3,3,333767,105.893846,20.989106,anh38.jpg
139,376,Thanh Xuân,4,1,1,436675,105.837747,21.01204,anh74.jpg
140,125,Đống Đa,4,2,4,141121,105.899601,20.981191,anh2.jpg
141,301,Đống Đa,5,3,1,276915,105.924577,20.992318,anh23.jpg
142,346,Đống Đa,4,3,5,413810,105.761069,21.027306,anh82.jpg
143,101,Tây Hồ,1,2,3,105388,105.791923,20.99233,anh36.jpg
144,247,Thanh Xuân,4,3,2,283125,105.870803,21.04144,anh12.jpg
145,31,Thanh Xuân,6,4,5,27616,105.916397,21.011984,anh32.jpg
146,288,Ba Đình,3,1,4,335887,105.899869,21.027213,anh70.jpg
147,160,Cầu Giấy,3,3,2,154339,105.835247,21.042617,anh13.jpg
148,243,Hoàn Kiếm,1,4,1,265642,105.93764,20.98144,anh53.jpg
149,100,Hoàn Kiếm,4,2,3,86021,105.909145,20.991224,anh86.jpg
150,343,Long Biên,1,2,5,394293,105.802671,20.9955,anh42.jpg
151,240,Cầu Giấy,4,3,5,244697,105.791604,20.998355,anh21.jpg
152,234,Thanh Xuân,4,2,2,273123,105.878523,21.034121,anh44.jpg
153,268,Thanh Xuân,5,4,4,278259,105.790695,21.030649,anh87.jpg
154,183,Đống Đa,6,2,1,214224,105.777364,21.020769,anh62.jpg
155,201,Đống Đa,2,2,1,197943,105.866826,21.02028,anh79.jpg
156,141,Cầu Giấy,2,1,3,141627,105.928929,21.042137,anh74.jpg
157,94,Tây Hồ,2,2,5,85053,105.851363,21.017007,anh34.jpg
158,262,Ba Đình,2,3,3,299891,105.823731,20.996701,anh50.jpg
159,337,Long Biên,1,4,5,319154,105.855102,21.017948,anh39.jpg
160,38,Cầu Giấy,3,2,2,34364,105.905293,21.043803,anh12.jpg
161,253,Long Biên,4,1,3,288847,105.864028,21.006873,anh27.jpg
162,243,Cầu Giấy,1,3,2,200117,105.809054,21.016321,anh76.jpg
163,202,Đống Đa,6,1,3,222864,105.767817,21.010976,anh58.jpg
164,108,Hoàn Kiếm,3,4,4,104810,105.830716,20.99805,anh80.jpg
165,193,Thanh Xuân,6,1,2,164647,105.770712,21.003148,anh28.jpg
166,295,Thanh Xuân,4,4,3,238200,105.931452,21.021772,anh21.jpg
167,257,Ba Đình,4,2,5,294608,105.799178,20.986039,anh41.jpg
168,214,Ba Đình,4,2,4,174868,105.803323,21.013443,anh11.jpg
169,374,Đống Đa,2,1,2,420030,105.882904,21.017084,anh22.jpg
170,321,Thanh Xuân,6,4,4,303267,105.909176,21.047043,anh44.jpg
171,351,Hai Bà Trưng,3,4,2,401921,105.838756,20.989118,anh26.jpg
172,89,Đống Đa,5,2,1,92551,105.827318,21.038442,anh75.jpg
173,155,Đống Đa,4,3,5,179628,105.882785,20.997075,anh38.jpg
174,107,Hai Bà Trưng,6,4,2,122060,105.93414,21.03601,anh99.jpg
175,395,Ba Đình,2,3,5,373988,105.788531,21.010082,anh34.jpg
176,51,Đống Đa,4,1,5,51904,105.860633,20.981026,anh16.jpg
177,200,Cầu Giấy,2,3,4,175365,105.937228,21.000943,anh81.jpg
178,95,Thanh Xuân,6,1,4,103783,105.94699,21.042025,anh71.jpg
179,253,Đống Đa,4,4,5,204271,105.751177,21.020554,anh2.jpg
180,175,Hai Bà Trưng,6,3,3,197235,105.861046,21.041479,anh37.jpg
181,286,Tây Hồ,6,2,1,295863,105.841138,21.002487,anh54.jpg
182,215,Long Biên,4,3,1,236182,105.882758,21.015141,anh1.jpg
183,43,Long Biên,5,2,2,42897,105.826068,20.983436,anh1.jpg
184,239,Hoàn Kiếm,2,1,5,220330,105.782867,21.029613,anh85.jpg
185,99,Hoàn Kiếm,5,2,2,86337,105.864226,21.023318,anh37.jpg
186,83,Tây Hồ,6,3,4,68858,105.802383,20.988124,anh41.jpg
187,247,Đống Đa,6,2,5,228557,105.902724,21.010323,anh86.jpg
188,188,Ba Đình,2,3,5,203528,105.854301,21.014215,anh33.jpg
189,261,Hoàn Kiếm,2,1,3,219094,105.903136,21.03637,anh66.jpg
190,162,Cầu Giấy,6,2,2,190672,105.936297,20.98238,anh56.jpg
191,194,Ba Đình,3,3,5,217609,105.773351,20.994375,anh32.jpg
192,238,Đống Đa,6,2,1,248719,105.751339,21.019758,anh49.jpg
193,387,Thanh Xuân,1,3,1,427577,105.774114,21.01741,anh29.jpg
194,330,Hoàn Kiếm,1,2,4,373559,105.847034,21.030068,anh51.jpg
195,120,Hai Bà Trưng,4,3,4,140707,105.930095,21.013106,anh74.jpg
196,218,Tây Hồ,5,3,3,206774,105.938769,21.023192,anh47.jpg
197,101,Ba Đình,1,2,3,110101,105.81221,21.009155,anh75.jpg
198,266,Cầu Giấy,1,4,5,243037,105.784957,20.984799,anh92.jpg
199,40,Hai Bà Trưng,6,2,2,42228,105.784055,21.0463,anh24.jpg
200,76,Đống Đa,6,3,5,90827,105.817427,21.027322,anh91.jpg
201,62,Cầu Giấy,6,1,3,55438,105.859156,20.995699,anh87.jpg
202,397,Long Biên,4,4,5,454451,105.912603,21.017023,anh11.jpg
203,278,Hai Bà Trưng,5,3,5,277730,105.914109,20.987341,anh42.jpg
204,274,Thanh Xuân,6,4,1,267376,105.835702,21.008664,anh1.jpg
205,326,Long Biên,2,4,1,355316,105.816647,21.032111,anh65.jpg
206,343,Cầu Giấy,4,4,5,360564,105.866343,20.991028,anh77.jpg
207,274,Ba Đình,3,3,1,312516,105.775695,21.042437,anh42.jpg
208,355,Ba Đình,2,2,4,404523,105.945713,21.024107,anh22.jpg
209,116,Ba Đình,5,3,4,104501,105.899691,21.033009,anh97.jpg
210,388,Tây Hồ,3,4,3,357706,105.926486,21.000507,anh75.jpg
211,152,Hoàn Kiếm,3,1,1,128011,105.815366,21.029414,anh10.jpg
212,355,Đống Đa,6,3,5,369870,105.882089,21.027783,anh13.jpg
213,302,Thanh Xuân,4,2,4,337572,105.866383,20.994383,anh76.jpg
214,58,Cầu Giấy,2,4,4,64008,105.899278,20.999786,anh38.jpg
215,81,Cầu Giấy,2,3,4,86405,105.845936,21.016127,anh33.jpg
216,256,Thanh Xuân,6,4,2,295833,105.878804,21.046379,anh3.jpg
217,259,Hoàn Kiếm,4,3,1,294753,105.940699,21.04151,anh67.jpg
218,148,Long Biên,3,2,2,130079,105.869262,21.039819,anh93.jpg
219,266,Đống Đa,2,2,5,222513,105.895804,21.013056,anh3.jpg
220,188,Hai Bà Trưng,3,1,3,188863,105.938726,21.004084,anh77.jpg
221,274,Ba Đình,4,2,4,268533,105.912944,20.990655,anh64.jpg
222,99,Thanh Xuân,5,3,2,95705,105.859282,21.038279,anh50.jpg
223,236,Thanh Xuân,2,1,5,211499,105.798361,20.996663,anh93.jpg
224,397,Thanh Xuân,2,4,2,352929,105.88462,20.993869,anh55.jpg
225,201,Ba Đình,1,1,4,192512,105.840966,21.009401,anh30.jpg
226,400,Long Biên,4,1,4,419848,105.933229,21.023632,anh2.jpg
227,106,Ba Đình,2,3,1,98801,105.919701,21.008661,anh75.jpg
228,68,Đống Đa,3,4,1,56307,105.906044,20.992718,anh21.jpg
229,76,Tây Hồ,4,2,5,76378,105.909813,21.031052,anh59.jpg
230,370,Hoàn Kiếm,3,4,2,407593,105.900182,20.990044,anh54.jpg
231,304,Tây Hồ,5,2,4,257667,105.781051,21.012132,anh87.jpg
232,96,Đống Đa,5,3,2,88531,105.904174,20.984632,anh98.jpg
233,356,Hoàn Kiếm,1,2,4,416223,105.82794,21.012139,anh2.jpg
234,365,Đống Đa,4,3,5,299489,105.862046,21.044425,anh12.jpg
235,324,Long Biên,1,2,1,298237,105.783375,20.990072,anh4.jpg
236,163,Hoàn Kiếm,4,3,2,130661,105.862143,20.98534,anh49.jpg
237,327,Hoàn Kiếm,1,1,5,349193,105.854126,21.013706,anh51.jpg
238,159,Hai Bà Trưng,4,1,3,185247,105.863691,21.006371,anh44.jpg
239,212,Long Biên,2,2,3,216393,105.879552,21.026879,anh22.jpg
240,342,Hai Bà Trưng,2,1,4,280596,105.856293,21.046937,anh21.jpg
241,310,Long Biên,5,1,3,327842,105.872838,20.980531,anh19.jpg
242,189,Tây Hồ,4,1,3,174641,105.808757,21.005368,anh23.jpg
243,146,Đống Đa,5,4,2,151090,105.914617,21.018352,anh45.jpg
244,84,Đống Đa,1,4,2,76729,105.801282,21.034414,anh91.jpg
245,289,Đống Đa,5,3,5,247084,105.879715,21.018201,anh26.jpg
246,77,Long Biên,4,2,4,83164,105.930391,20.99898,anh80.jpg
247,191,Hoàn Kiếm,1,1,2,198234,105.912272,21.041614,anh8.jpg
248,272,Hai Bà Trưng,3,2,3,299645,105.800503,21.040826,anh55.jpg
249,114,Cầu Giấy,3,1,3,96896,105.825263,21.003196,anh38.jpg
250,170,Thanh Xuân,5,3,5,149456,105.844996,21.004058,anh5.jpg
251,278,Hai Bà Trưng,3,2,1,298965,105.94877,20.9821,anh41.jpg
252,35,Ba Đình,4,4,2,33775,105.885955,21.006709,anh39.jpg
253,115,Hai Bà Trưng,2,3,3,135668,105.754319,21.026868,anh21.jpg
254,110,Tây Hồ,5,4,4,106646,105.890896,20.983476,anh52.jpg
255,357,Đống Đa,1,2,2,382608,105.863795,20.988233,anh23.jpg
256,85,Cầu Giấy,5,3,2,89620,105.756244,21.047826,anh39.jpg
257,346,Đống Đa,3,3,5,384421,105.830685,20.991789,anh78.jpg
258,325,Long Biên,2,4,1,333652,105.82425,21.003945,anh64.jpg
259,167,Đống Đa,4,4,4,135412,105.936388,20.982139,anh11.jpg
260,151,Cầu Giấy,1,1,5,170913,105.851112,21.014719,anh85.jpg
261,321,Hoàn Kiếm,5,4,2,330976,105.905516,21.038327,anh87.jpg
262,282,Đống Đa,4,1,4,309598,105.906998,21.024303,anh11.jpg
263,303,Ba Đình,1,2,3,322581,105.823207,20.990346,anh53.jpg
264,263,Ba Đình,1,4,4,238463,105.777791,20.991787,anh92.jpg
265,268,Đống Đa,6,3,4,217583,105.822728,21.013531,anh6.jpg
266,308,Hai Bà Trưng,1,4,3,337104,105.866259,21.008791,anh26.jpg
267,110,Long Biên,6,2,3,88856,105.753412,20.985248,anh61.jpg
268,327,Đống Đa,5,4,1,335104,105.801266,21.008102,anh17.jpg
269,199,Long Biên,1,1,1,185593,105.839567,20.996136,anh27.jpg
270,346,Thanh Xuân,6,4,4,317679,105.89827,21.004363,anh98.jpg
271,324,Ba Đình,6,2,5,321881,105.924311,21.038099,anh25.jpg
272,61,Cầu Giấy,4,3,5,59208,105.775277,21.006674,anh67.jpg
273,381,Tây Hồ,6,1,5,430882,105.894675,21.006551,anh14.jpg
274,243,Đống Đa,4,1,3,255231,105.791047,21.004326,anh39.jpg
275,224,Tây Hồ,3,1,1,252749,105.934062,21.034813,anh34.jpg
276,356,Thanh Xuân,1,2,5,346506,105.817345,21.02561,anh85.jpg
277,84,Cầu Giấy,6,2,2,96645,105.762714,21.035772,anh12.jpg
278,265,Long Biên,1,3,5,237891,105.79811,21.049252,anh34.jpg
279,66,Cầu Giấy,4,4,3,71978,105.883612,21.01516,anh59.jpg
280,272,Hai Bà Trưng,5,2,1,238931,105.914098,20.986508,anh94.jpg
281,256,Hai Bà Trưng,3,3,2,264256,105.852576,21.018504,anh92.jpg
282,323,Đống Đa,2,1,5,278598,105.909765,20.999233,anh16.jpg
283,367,Tây Hồ,3,3,2,439564,105.85969,21.002717,anh24.jpg
284,227,Thanh Xuân,5,4,5,210469,105.75784,20.981328,anh38.jpg
285,60,Hai Bà Trưng,4,3,4,55826,105.885935,21.005254,anh33.jpg
286,336,Tây Hồ,1,3,2,315547,105.83999,21.016003,anh21.jpg
287,83,Hai Bà Trưng,2,3,2,78686,105.912932,21.027235,anh30.jpg
288,344,Cầu Giấy,2,3,4,373078,105.756408,21.036615,anh54.jpg
289,79,Hai Bà Trưng,1,3,3,91457,105.779065,21.019076,anh31.jpg
290,72,Tây Hồ,1,3,3,67015,105.867707,20.983463,anh52.jpg
291,199,Ba Đình,1,3,4,163673,105.931511,21.037927,anh54.jpg
292,244,Đống Đa,4,3,2,286994,105.752259,20.986645,anh27.jpg
293,290,Hai Bà Trưng,2,1,2,288417,105.843982,21.00511,anh8.jpg
294,41,Hai Bà Trưng,2,2,2,46999,105.781285,21.007869,anh24.jpg
295,240,Đống Đa,4,1,1,278173,105.815751,21.043847,anh17.jpg
296,89,Đống Đa,3,3,5,94426,105.923433,21.006275,anh28.jpg
297,366,Long Biên,2,2,4,311455,105.94042,21.001796,anh3.jpg
298,392,Hoàn Kiếm,1,2,5,356102,105.813909,21.005635,anh76.jpg
299,230,Thanh Xuân,2,3,1,235877,105.943807,21.030566,anh52.jpg
300,72,Thanh Xuân,6,3,4,64265,105.835185,21.011008,anh29.jpg
301,384,Tây Hồ,1,4,2,450150,105.914987,21.01344,anh17.jpg
302,150,Long Biên,5,2,5,145947,105.851296,21.00415,anh31.jpg
303,331,Hai Bà Trưng,5,3,2,382799,105.813754,21.04965,anh87.jpg
304,239,Thanh Xuân,1,4,3,199200,105.936462,21.038168,anh3.jpg
305,75,Long Biên,6,1,3,88926,105.906691,20.981077,anh25.jpg
306,326,Đống Đa,2,3,2,356275,105.772439,21.047733,anh97.jpg
307,226,Tây Hồ,6,2,2,264742,105.774916,20.998055,anh68.jpg
308,298,Hai Bà Trưng,1,1,1,273834,105.810963,21.043537,anh65.jpg
309,185,Hai Bà Trưng,3,3,5,170781,105.883395,21.015621,anh25.jpg
310,125,Đống Đa,5,4,2,104089,105.897973,21.021993,anh31.jpg
311,306,Hai Bà Trưng,3,3,4,312168,105.893131,21.005992,anh44.jpg
312,176,Hoàn Kiếm,1,1,5,184094,105.920262,21.0489,anh64.jpg
313,334,Đống Đa,6,2,2,393310,105.816567,20.981919,anh74.jpg
314,177,Thanh Xuân,6,2,3,165865,105.935459,21.02233,anh62.jpg
315,351,Tây Hồ,1,1,2,409255,105.816571,21.038097,anh75.jpg
316,45,Tây Hồ,1,3,5,53196,105.862144,21.047979,anh62.jpg
317,199,Hoàn Kiếm,2,4,5,220974,105.796163,21.044982,anh72.jpg
318,366,Thanh Xuân,3,4,3,323254,105.918461,21.025304,anh84.jpg
319,361,Long Biên,3,1,3,333420,105.910618,21.037435,anh86.jpg
320,221,Long Biên,4,2,3,193146,105.754612,21.008409,anh88.jpg
321,60,Đống Đa,6,2,5,65300,105.787825,21.045106,anh97.jpg
322,160,Ba Đình,4,4,1,149692,105.894264,21.032493,anh69.jpg
323,292,Hoàn Kiếm,3,2,1,258505,105.825522,21.036855,anh38.jpg
324,239,Đống Đa,5,3,3,228798,105.883671,20.985556,anh81.jpg
325,289,Hai Bà Trưng,3,4,1,238969,105.810264,21.004326,anh50.jpg
326,281,Đống Đa,2,4,2,258739,105.918554,21.01014,anh8.jpg
327,33,Tây Hồ,3,3,3,32415,105.853423,20.992409,anh95.jpg
328,377,Hai Bà Trưng,2,1,3,303426,105.827413,21.045924,anh88.jpg
329,265,Cầu Giấy,6,4,4,279119,105.834589,21.042097,anh62.jpg
330,354,Hoàn Kiếm,4,1,3,420460,105.894067,21.028058,anh19.jpg
331,50,Hai Bà Trưng,5,1,5,59051,105.892442,21.026735,anh38.jpg
332,267,Cầu Giấy,3,3,2,316117,105.838475,21.032005,anh25.jpg
333,260,Long Biên,2,3,3,216455,105.817675,21.007597,anh14.jpg
334,177,Đống Đa,5,1,2,180587,105.928459,21.020681,anh16.jpg
335,267,Hoàn Kiếm,3,2,2,247613,105.872724,21.023267,anh68.jpg
336,160,Long Biên,4,3,3,171666,105.898417,21.003796,anh96.jpg
337,386,Tây Hồ,3,3,3,339969,105.795148,21.042103,anh22.jpg
338,129,Hoàn Kiếm,4,1,1,129819,105.862019,21.045458,anh65.jpg
339,31,Cầu Giấy,4,3,2,31237,105.755603,21.035426,anh74.jpg
340,225,Đống Đa,3,4,3,268324,105.8125,21.029279,anh39.jpg
341,95,Ba Đình,3,3,4,99770,105.928318,21.045794,anh25.jpg
342,86,Tây Hồ,6,3,5,82014,105.81654,21.006872,anh97.jpg
343,254,Hai Bà Trưng,2,3,5,285299,105.941079,20.980645,anh59.jpg
344,153,Cầu Giấy,2,3,5,139927,105.857231,21.000408,anh55.jpg
345,168,Hoàn Kiếm,2,1,4,196697,105.912565,21.009457,anh32.jpg
346,175,Thanh Xuân,3,1,5,154910,105.82818,20.99884,anh72.jpg
347,363,Hai Bà Trưng,3,4,3,338596,105.759479,20.997662,anh78.jpg
348,136,Cầu Giấy,2,3,3,114539,105.814135,21.011943,anh16.jpg
349,50,Tây Hồ,4,3,2,59049,105.931646,21.01915,anh72.jpg
350,360,Tây Hồ,5,3,1,293700,105.93706,21.026051,anh64.jpg
351,391,Tây Hồ,6,4,3,418014,105.768648,20.996282,anh29.jpg
